"Series Key",ELEC.CUSTOMERS.GA-RES.M
"Series Name","Number of customer accounts : Georgia : residential : monthly"
Units,"number of customers"
Frequency,M
"Start Date",200801
"End Date",202107
Source,"EIA, U.S. Energy Information Administration"

202107,4568803
202106,4565645
202105,4558999
202104,4545352
202103,4552746
202102,4469210
202101,4514613
202012,4576481
202011,4571805
202010,4567739
202009,4558951
202008,4551324
202007,4545038
202006,4537883
202005,4522921
202004,4515864
202003,4510674
202002,4494808
202001,4493956
201912,4438466
201911,4436588
201910,4432708
201909,4426033
201908,4422150
201907,4416408
201906,4409565
201905,4403756
201904,4398054
201903,4391586
201902,4383442
201901,4379490
201812,4381394
201811,4377131
201810,4374171
201809,4368410
201808,4366111
201807,4351549
201806,4352844
201805,4347019
201804,4341636
201803,4333117
201802,4325497
201801,4329363
201712,4319333
201711,4316738
201710,4313277
201709,4310944
201708,4309822
201707,4302857
201706,4298651
201705,4292870
201704,4284369
201703,4283419
201702,4266399
201701,4265029
201612,4265004
201611,4258276
201610,4257051
201609,4253440
201608,4251756
201607,4243123
201606,4239970
201605,4233906
201604,4228064
201603,4224125
201602,4219008
201601,4211329
201512,4210801
201511,4205210
201510,4202964
201509,4199695
201508,4198496
201507,4193548
201506,4191569
201505,4187586
201504,4183177
201503,4180899
201502,4173765
201501,4166765
201412,4171048
201411,4165846
201410,4161217
201409,4156590
201408,4155435
201407,4148237
201406,4132787
201405,4112183
201404,4113998
201403,4112735
201402,4109864
201401,4104719
201312,4120842
201311,4115896
201310,4112125
201309,4109949
201308,4108145
201307,4103809
201306,4099562
201305,4097632
201304,4095135
201303,4088762
201302,4084938
201301,4079331
201212,4082799
201211,4080173
201210,4077575
201209,4076104
201208,4077850
201207,4074388
201206,4073105
201205,4070517
201204,4068308
201203,4065533
201202,4059465
201201,4051900
201112,4063097
201111,4059237
201110,4057818
201109,4060507
201108,4061768
201107,4059980
201106,4057242
201105,4050092
201104,4053861
201103,4051649
201102,4050173
201101,4048348
201012,4047328
201011,4068566
201010,4071678
201009,4072276
201008,4079278
201007,4085127
201006,4066827
201005,4034702
201004,4032874
201003,4033795
201002,4031310
201001,4025849
200912,4067579
200911,4062652
200910,4064072
200909,4065013
200908,4066978
200907,4066263
200906,4062865
200905,4059760
200904,4057647
200903,4058236
200902,4058403
200901,4052849
200812,4042978
200811,4039474
200810,4037700
200809,4040764
200808,4044811
200807,4041099
200806,4035387
200805,4033126
200804,4028785
200803,4028445
200802,4025567
200801,4018970
