"Series Key",EBA.SE-ALL.D.H,"Series Key",EBA.TVA-ALL.D.H
"Series Name","Demand for Southeast (region), hourly - UTC time","Series Name","Demand for Tennessee Valley Authority (TVA), hourly - UTC time"
Units,megawatthours,Units,megawatthours
Frequency,H,Frequency,H
"Start Date",20150701T06Z,"Start Date",20150701T06Z
"End Date",20211012T11Z,"End Date",20211012T11Z
Source,,Source,

20211012T11Z,22520,20211012T11Z,14947
20211012T10Z,21044,20211012T10Z,14317
20211012T09Z,20393,20211012T09Z,14086
20211012T08Z,20294,20211012T08Z,14190
20211012T07Z,20751,20211012T07Z,14537
20211012T06Z,21606,20211012T06Z,15123
20211012T05Z,22759,20211012T05Z,15885
20211012T04Z,23733,20211012T04Z,17073
20211012T03Z,25272,20211012T03Z,18297
20211012T02Z,27121,20211012T02Z,19316
20211012T01Z,30007,20211012T01Z,20288
20211012T00Z,29335,20211012T00Z,20664
20211011T23Z,29622,20211011T23Z,21004
20211011T22Z,29880,20211011T22Z,21558
20211011T21Z,29786,20211011T21Z,21627
20211011T20Z,29591,20211011T20Z,21573
20211011T19Z,28653,20211011T19Z,21171
20211011T18Z,27684,20211011T18Z,20646
20211011T17Z,28913,20211011T17Z,19846
20211011T16Z,25285,20211011T16Z,19008
20211011T15Z,23729,20211011T15Z,18044
20211011T14Z,22679,20211011T14Z,17212
20211011T13Z,22611,20211011T13Z,16483
20211011T12Z,22701,20211011T12Z,15861
20211011T11Z,21527,20211011T11Z,14875
20211011T10Z,20245,20211011T10Z,14089
20211011T09Z,19619,20211011T09Z,13645
20211011T08Z,19564,20211011T08Z,13780
20211011T07Z,20080,20211011T07Z,14194
20211011T06Z,20802,20211011T06Z,14735
20211011T05Z,21489,20211011T05Z,15561
20211011T04Z,22551,20211011T04Z,16597
20211011T03Z,25577,20211011T03Z,17765
20211011T02Z,25917,20211011T02Z,18881
20211011T01Z,27586,20211011T01Z,20000
20211011T00Z,28815,20211011T00Z,20668
20211010T23Z,29378,20211010T23Z,21407
20211010T22Z,29576,20211010T22Z,22106
20211010T21Z,29469,20211010T21Z,22007
20211010T20Z,28664,20211010T20Z,21529
20211010T19Z,27454,20211010T19Z,20729
20211010T18Z,27718,20211010T18Z,19732
20211010T17Z,24451,20211010T17Z,18444
20211010T16Z,23224,20211010T16Z,17212
20211010T15Z,21789,20211010T15Z,16094
20211010T14Z,20466,20211010T14Z,14951
20211010T13Z,19281,20211010T13Z,13863
20211010T12Z,19051,20211010T12Z,13479
20211010T11Z,19088,20211010T11Z,13171
20211010T10Z,19119,20211010T10Z,13063
20211010T09Z,19001,20211010T09Z,13145
20211010T08Z,19310,20211010T08Z,13460
20211010T07Z,19842,20211010T07Z,13830
20211010T06Z,20273,20211010T06Z,14425
20211010T05Z,21548,20211010T05Z,15342
20211010T04Z,22654,20211010T04Z,16256
20211010T03Z,24264,20211010T03Z,17391
20211010T02Z,25610,20211010T02Z,18304
20211010T01Z,26797,20211010T01Z,19331
20211010T00Z,27600,20211010T00Z,19923
20211009T23Z,28337,20211009T23Z,20727
20211009T22Z,28822,20211009T22Z,21421
20211009T21Z,28968,20211009T21Z,21486
20211009T20Z,30552,20211009T20Z,21111
20211009T19Z,27828,20211009T19Z,20494
20211009T18Z,26514,20211009T18Z,19433
20211009T17Z,25275,20211009T17Z,18400
